"Record was deleted.","הרשומה נמחקה."
"Can't find a record to delete.","אין אפשרות למצוא רשומה למחיקה."
SoldTogether,סולידיחד
"Customers Who Bought This Item Also Bought","לקוחות שקנו פריט זה קנו גם"
"Please correct the data sent.","נא תקן את הנתונים הנשלחים."
"Something went wrong while saving the page.","משהו השתבש בזמן שהציל את הדף."
"We couldn't find any customers","לא הצלחנו למצוא לקוחות"
"All Customer Orders have been indexed.","כל הזמנות הלקוח נכללו באינדקס."
"Frequently Bought Together","נקנו ביחד לעתים קרובות"
"We couldn't find any orders","לא מצאנו שום הוראה"
"All Orders have been indexed.","כל ההזמנות נכללו באינדקס."
"This Item","פריט זה"
"Add All to Cart","הוסף הכל לסל"
Swissup,סוויסופ
Enabled,זמין
"Count Products to Display","ספירת מוצרים לתצוגה"
"Index Customer Orders","הזמנות ללקוחות באינדקס"
"Related Product Name","שם מוצר קשור"
"Is Admin",מנהל
"Index Orders","הזמנות אינדקס"
"Customers who bought this product also commonly purchased the following combination of items","לקוחות שקנו מוצר זה גם רכשו בדרך כלל את השילוב הבא של פריטים"
"Customers Who Bought This Item(s) Also Bought","לקוחות שרכשו פריט זה קנו גם"
"Email Blocks Settings","בלוקים דוא ל הגדרות"
"Frequently Bought Together Count Products to Display","מוצרים שנרכשו יחד לעתים קרובות כדי להציג"
"Customer Bought Together Count Products to Display","לקוחות שנקנו ביחד מוצרים לתצוגה"
"List random products for empty collections","פירוט מוצרים אקראיים לאוספים ריקים"
"Show Out Of Stock Products","הצג מתוך מוצרי מניות"
