"Record was deleted.","Il record è stato eliminato."
"Can't find a record to delete.","Impossibile trovare un record da eliminare."
SoldTogether,SoldTogether
"Customers Who Bought This Item Also Bought","I clienti che hanno acquistato questo oggetto anche acquistato"
"Please correct the data sent.","Correggere i dati inviati."
"Something went wrong while saving the page.","Si è verificato un problema durante il salvataggio della pagina."
"We couldn't find any customers","Non siamo riusciti a trovare alcun cliente"
"All Customer Orders have been indexed.","Tutti gli ordini dei clienti sono stati indicizzati."
"Frequently Bought Together","Frequentemente comprato insieme"
"We couldn't find any orders","Non siamo riusciti a trovare alcun ordine"
"All Orders have been indexed.","Tutti gli ordini sono stati indicizzati."
"This Item","Questo elemento"
"Add All to Cart","Aggiungi tutto al carrello"
Swissup,Swissup
Enabled,Abilitato
"Count Products to Display","Contare i prodotti da visualizzare"
"Index Customer Orders","Indicizza ordini dei clienti"
"Related Product Name","Nome prodotto correlato"
"Is Admin","È amministratore"
"Index Orders","Ordini indice"
"Customers who bought this product also commonly purchased the following combination of items","I clienti che hanno acquistato questo prodotto anche comunemente acquistato la seguente combinazione di articoli"
"Customers Who Bought This Item(s) Also Bought","Clienti che hanno acquistato questo articolo(i) acquistato anche"
"Email Blocks Settings","Impostazioni blocchi e-mail"
"Frequently Bought Together Count Products to Display","Frequentemente acquistati insieme contare i prodotti da visualizzare"
"Customer Bought Together Count Products to Display","Cliente acquistato insieme contare prodotti da visualizzare"
"List random products for empty collections","Elencare prodotti casuali per le collezioni vuote"
"Show Out Of Stock Products","Mostra prodotti esauriti"
