"Record was deleted.",レコードが削除されました。
"Can't find a record to delete.",削除するレコードが見つかりません。
SoldTogether,一緒に販売
"Customers Who Bought This Item Also Bought",この商品を購入したお客様も購入しました
"Please correct the data sent.",送信されたデータを訂正してください。
"Something went wrong while saving the page.",ページの保存中に何か問題が発生しました。
"We couldn't find any customers",お客様が見つかりませんでした
"All Customer Orders have been indexed.",すべての顧客注文にインデックスが作成されました。
"Frequently Bought Together",よく一緒に買う
"We couldn't find any orders",注文が見つかりませんでした
"All Orders have been indexed.",すべての注文にインデックスが作成されました。
"This Item",このアイテム
"Add All to Cart",すべてカートに追加
Swissup,スイスアップ
Enabled,有効
"Count Products to Display",表示する製品の数
"Index Customer Orders",顧客注文のインデックス
"Related Product Name",関連製品名
"Is Admin",管理者です
"Index Orders",インデックスオーダー
"Customers who bought this product also commonly purchased the following combination of items",この製品を購入したお客様は、一般的に以下のアイテムの組み合わせを購入しました
"Customers Who Bought This Item(s) Also Bought",この商品を購入したお客様も購入しました
"Email Blocks Settings","電子メール ブロックの設定"
"Frequently Bought Together Count Products to Display",頻繁に購入された一緒に表示する製品をカウント
"Customer Bought Together Count Products to Display",顧客が一緒に購入した製品をカウントして表示する
"List random products for empty collections",空のコレクションのランダムな製品を一覧表示する
"Show Out Of Stock Products",在庫品の表示
