"Record was deleted.","레코드가 삭제되었습니다."
"Can't find a record to delete.","삭제할 레코드를 찾을 수 없습니다."
SoldTogether,"함께 판매"
"Customers Who Bought This Item Also Bought","이 제품을 구입한 고객도 구입했습니다."
"Please correct the data sent.","전송된 데이터를 수정하십시오."
"Something went wrong while saving the page.","페이지를 저장하는 동안 문제가 되었습니다."
"We couldn't find any customers","우리는 어떤 고객을 찾을 수 없습니다"
"All Customer Orders have been indexed.","모든 고객 주문이 인덱싱되었습니다."
"Frequently Bought Together","자주 함께 구입"
"We couldn't find any orders","우리는 어떤 주문을 찾을 수 없습니다."
"All Orders have been indexed.","모든 주문이 인덱싱되었습니다."
"This Item","이 항목"
"Add All to Cart","장바구니에 모두 추가"
Swissup,"스위스 업"
Enabled,사용
"Count Products to Display","표시할 제품 수"
"Index Customer Orders","고객 주문 색인"
"Related Product Name","관련 제품 이름"
"Is Admin",관리자입니다.
"Index Orders","인덱스 주문"
"Customers who bought this product also commonly purchased the following combination of items","이 제품을 구입한 고객도 일반적으로 다음과 같은 상품 조합을 구입했습니다."
"Customers Who Bought This Item(s) Also Bought","이 제품을 구입한 고객도 구입했습니다."
"Email Blocks Settings","이메일 차단 설정"
"Frequently Bought Together Count Products to Display","자주 함께 구입 한 함께 표시 할 제품을 계산"
"Customer Bought Together Count Products to Display","함께 구매한 고객이 디스플레이에 제품을 계산합니다."
"List random products for empty collections","빈 컬렉션에 대한 임의 제품 목록"
"Show Out Of Stock Products","품절 제품 표시"
