"Record was deleted.","O registro foi apagado."
"Can't find a record to delete.","Não consigo encontrar um registro para apagar."
SoldTogether,VendidosJuntos
"Customers Who Bought This Item Also Bought","Clientes que compraram este item também compraram"
"Please correct the data sent.","Por favor, corrija os dados enviados."
"Something went wrong while saving the page.","Algo deu errado enquanto salvava a página."
"We couldn't find any customers","Não conseguimos encontrar nenhum cliente."
"All Customer Orders have been indexed.","Todos os Pedidos de Clientes foram indexados."
"Frequently Bought Together","Comprados frequentemente juntos"
"We couldn't find any orders","Não encontramos nenhuma ordem."
"All Orders have been indexed.","Todas as ordens foram indexadas."
"This Item","Este Item"
"Add All to Cart","Adicionar tudo ao carrinho"
Swissup,Swissup
Enabled,Habilitado
"Count Products to Display","Contar produtos para exibir"
"Index Customer Orders","Pedidos de clientes de índice"
"Related Product Name","Nome do produto relacionado"
"Is Admin","É Admin"
"Index Orders","Ordens de índice"
"Customers who bought this product also commonly purchased the following combination of items","Os clientes que compraram este produto também compraram comumente a seguinte combinação de itens"
"Customers Who Bought This Item(s) Also Bought","Clientes que compraram este item também compraram"
"Email Blocks Settings","Configurações de blocos de e-mail"
"Frequently Bought Together Count Products to Display","Produtos de contagem freqüentemente comprados juntos para exibir"
"Customer Bought Together Count Products to Display","Cliente comprado em conjunto contagem de produtos para exibir"
"List random products for empty collections","Liste produtos aleatórios para coleções vazias"
"Show Out Of Stock Products","Mostrar produtos fora do estoque"
